LNT
GGG
LBRDK
BC
ACLX
WOLF
NOG
SUI
RHP
AAP
SAND
KRYS
BRX
PENN
NWG
THG
STWD
GFS
AXSM
HWC
FRT
LCII
SMTC
TFIN
NICE
HR
KVYO
TXNM
TME
PAA
CRI
WH
BTU
RITM
NRDBY
SLAB
QFIN
QLYS
SOC
NXT
PTCT
ATKR
GNTX
PK
ROAD
TXG
KRC
OSIS
ESI
NUVL
GO
RDN
NCNO
SITE
THO
PCTY
WPC
CCCS
MPW
BBIO
LTH
HUT
LEA
NFG
FLG
CFR
PPC
SM
NE
CADE
ESNT
GBX
LNC
WNC
KRG
LVMUY
FCN
BHC
ABBNY
RVMD
YPF
BILI
ARCO
MGY
SEIC
WU
WRBY
TNET
ATGE
PI
PRCT
RELY
WEN
ALKS
PEGA
AI
L
FULT
GNW
ELAN
REG
TS
HBM
LOAR
MT
VIRT
OMF
TTC
RYAAY
SMFG
CNR
GLPI
MRCY
EEFT
APLS
SPXC
AVT
TIGO
NSP
CRUS
WHD
SAIC
KC
HOMB
EPRT
WAY
VRNA
LNTH
KAI
COKE
VAL
BILL
BOH
FMC
HESM
G
MHK
KNSL
BYD
BHVN
AACT
GLOB
JWN
CYTK
IMO
ROOT
ZIM
MSM
HCC
CBRL
AAON
DRS
LECO
LKFN
CAKE
APG
COTY
NMAX
ING
NXST
TGTX
IREN
BMO
SBRA
VSCO
RNA
GMED
CWH
DAN
DEI
MTG
UMBF
FTDR
FUBO
OBDC
POR
HEES
DX
TKR
OGE
JXN
NOV
FORM
TU
NNN
AMR
VIPS
WMS
WTS
VNET
FMX
WTRG
CUZ
TMC
GLNG
BAESY
RYTM
MATX
CRSP
GFF
FCF
TFII
HMC
EXK
DDS
PBA
FFBC
BKU
CUBE
MC
CR
COLD
CMC
LOGI
RELX
GVA
BFH
ARIS
CTRE
UFPI
AWI
HURN
CRK
ORA
BANC
PLAY
JBTM
FUN
XRAY
BXSL
EGO
BWA
CALX
GENI
TDS
UEC
APPF
PAGP
OSK
TBBK
CBZ
SAM
HUN
ABG
GRND
RDNT
FAF
NWE
SEE
SMNEY
EDU
GT
VMI
WNS
HGV
STAG
CM
SEZL
POWL
HLI
APLE
CPRI
ORI
ZWS
LZAGY
ARR
TPH
JNVR
MTSI
LANC
RMBS
REVG
CVCO
NOVT
WERN
PFSI
WULF
OSCR
BAP
TGB
JHG
LPX
SARO
VRNS
SNEX
SMPL
RDY
FCFS
IHG
OGS
FUL
OGN
GIB
SAN
IDA
ACVA
MAIN
FTS
AUB
KNTK
ABR
TPC
NVST
SLGN
MBLY
TDW
PRLB
HAE
LOPE
TTEK
GXO
TSEM
PCH
NXE
SPSC
NWL
AL
MCHPP
UTZ
ZI
VG
DCI
ARMK
PB
PJT
CRGY
DORM
VVV
ST
PAG
DVAX
FRO
NFE
KT
KNF
RLI
MHO
LUNR
INOD
GHC
VNO
BLBD
CERT
PGRE
BKH
AMG
BFAM
UI
LEU
ACT
PUK
DIDIY
FOX
AMTM
IOVA
LUMN
AHR
SDGR
CLM
BRZE
NVAX
SHOO
WES
ACA
ATEN
TAK
XENE
INDB
ZD
ABCB
NMIH
FSK
QTWO
HSAI
RPD
ICUI
ECG
ENVX
SLF
OLN
TGNA
SRRK
TNL
SR
SKY
IDYA
SON
KSPI
KTB
HP
WKC
AX
GATX
BOX
TWST
ARVN
CACC
IAC
BKD
QUBT
VERX
ESGR
AMKR
PROSY
PRI
SATS
SANM
RCI
ARWR
ZETA
AMRC
CNXC
DV
PLMR
EVH
ROIV
EOSE
PGNY
CBT
ENFN
BEPC
BHF
UCB
AMPS
TDOC
CHH
KBR
NNE
HEI.A
CWK
KFY
ESAB
IRTC
GPOR
LINE
RNMBY
SKYW
