NVDA
CZR
IFF
AGI
CX
LI
BERY
UBS
MUR
COTY
CLF
HALO
PCVX
BROS
RIG
IAG
BRKR
FWONK
RRC
STE
HAS
TD
BIO
CRBG
FOUR
HMY
TM
XP
POOL
APG
YPF
FRPT
TRP
CIEN
PSN
AUR
GRAB
PVH
PBR.A
GEN
VLY
JKHY
IBP
SDGR
PCTY
LRN
CFLT
CFR
BCE
IEX
ACHC
H
EQNR
CCK
STNE
CHX
SAND
BALL
VIK
THO
REG
SMR
FLS
AKAM
ARBB
EGP
RGA
PTCT
CVLT
ALSN
ONTO
EXAS
AAON
MTSI
UMC
LNC
LKNCY
FRT
CNK
OPCH
KBH
GNRC
STWD
SUI
PLNT
ROL
BZ
PII
EDU
GFI
PTON
TTE
BILL
TECH
WULF
EOSE
DB
SRRK
HBM
FYBR
BBD
TRNO
SLNO
DINO
BTU
GGG
MTN
MAT
RHI
GEO
BAM
RUN
HSAI
MDGL
AI
NGD
CHE
GTLS
TGTX
BNS
SONY
ASX
AUB
AIT
SNDK
QXO
CNM
PTEN
LNTH
TECK
AIZ
BF.B
CWST
ELS
RPM
TFX
SLG
DAR
BLD
PDCO
AXTA
BEN
OBDC
ZION
RNR
AEO
CORZ
ERJ
TME
ROIV
KSS
PPC
TRMB
AWI
SITE
WTRG
HRL
RHHBY
AGCO
JXN
NXT
MUFG
SOLV
S
AXS
BIRK
